,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
67,68,Mathias Lessort,UNI,37,20.0,3.1,5.5,0.5660000000000001,0.0,0.0,0.0,2.3,3.6,0.647,1.8,2.8,2.2,3.2,5.4,1.1,0.9,0.5,8.6
68,69,Moussa Diagne,AND,32,19.7,2.8,4.7,0.597,0.0,0.1,0.0,3.0,4.0,0.752,1.1,2.9,2.3,4.0,6.3,0.4,0.8,0.6,8.6
69,70,Matt Janning,CAJ,21,22.6,3.0,7.7,0.391,1.8,5.4,0.33299999999999996,0.7,0.9,0.833,1.0,2.0,0.4,2.0,2.4,1.4,0.7,0.0,8.5
70,71,Eulis Baez,GCN,26,21.2,2.9,7.1,0.405,0.7,2.7,0.254,2.0,2.5,0.7879999999999999,1.1,1.8,1.4,2.3,3.8,1.6,1.0,0.2,8.5
71,72,Blagota Sekulic,GBC,34,21.6,3.2,6.4,0.5,0.3,1.0,0.324,1.7,2.6,0.667,1.2,2.0,1.5,2.8,4.3,1.4,0.4,0.2,8.4
72,73,Andrew Albicy,AND,33,25.2,2.8,7.4,0.379,1.7,4.8,0.348,1.1,1.4,0.7609999999999999,2.0,2.1,0.4,1.4,1.8,5.2,1.2,0.0,8.3
73,74,Nik Caner-Medley,EST,32,28.3,2.6,6.4,0.40700000000000003,0.9,2.5,0.36200000000000004,2.1,2.5,0.85,1.2,2.0,1.9,6.7,8.7,1.3,1.0,0.3,8.2
74,75,Branden Frazier,SPB,34,19.8,3.0,7.1,0.419,1.4,3.5,0.392,0.8,1.0,0.818,1.0,1.9,0.4,1.7,2.1,2.1,0.4,0.0,8.1
75,76,Fernando San Emeterio,VAL,32,17.9,2.5,5.9,0.426,0.8,2.6,0.321,2.2,2.6,0.8540000000000001,0.9,1.1,0.6,1.5,2.1,1.5,0.4,0.0,8.0
76,77,Bo McCalebb,ZAR,37,21.7,3.2,6.8,0.47600000000000003,0.6,1.7,0.33899999999999997,1.0,1.6,0.623,1.3,1.4,0.6,1.5,2.1,3.6,1.1,0.1,8.0
77,78,Kevin Pangos,FCB,43,19.7,2.8,6.3,0.441,1.3,3.1,0.42100000000000004,1.1,1.5,0.746,1.8,2.4,0.3,1.2,1.5,3.2,0.6,0.0,8.0
