,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
117,Adam Hanga,SF,6-7,200,FC Barcelona Lassa,Budapest,2011 Rnd 2 Pick 29,Hungary
118,Clevin Hannah,G,5-11,165,MoraBanc Andorra,Holly Springs (MS),"2010 NBA Draft, Undrafted",United StatesSenegal
119,Luke Harangody,F,6-8,245,Divina Seguros Joventut,Decatur (IL),2010 Rnd 2 Pick 22,United States
120,Demonte Harper,SG,6-4,195,Herbalife Gran Canaria,Nashville (TN),"2011 NBA Draft, Undrafted",United States
121,Tyler Haws,SG,6-5,195,RETAbet Bilbao Basket,Alpine (UT),"2015 NBA Draft, Undrafted",United States
122,Hilmar Henningsson,PG,6-5,-,Valencia Basket,,2022 NBA Draft Eligible,Iceland
123,Pierria Henry,G,6-5,197,KIROLBET Baskonia Vitoria-Gasteiz,South Charleston (WV),"2015 NBA Draft, Undrafted",United States
124,Volodymyr Herun,C,6-10,250,Unicaja Malaga,Dnipropetrovsk,"2015 NBA Draft, Undrafted",Ukraine
125,Thomas Heurtel,G,6-2,180,FC Barcelona Lassa,Pau,"2010 NBA Draft, Undrafted",France
126,Cory Higgins,G,6-5,181,FC Barcelona Lassa,Danville (CA),"2011 NBA Draft, Undrafted",United States
127,Tryggvi Hlinason,C,7-1,260,Tecnyconta Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland
128,Marcelinho Huertas,PG,6-3,200,Iberostar Tenerife,Santa Catarina,"2005 NBA Draft, Undrafted",Brazil
129,Kyle Hunt,F,6-10,229,UCAM Murcia,Queens (NY),"2013 NBA Draft, Undrafted",United States
130,Goran Huskic,C,6-9,225,San Pablo Inmobiliaria Burgos,Belgrade,"2014 NBA Draft, Undrafted",Serbia
131,Jose Luis Ibanez,F,6-5,190,Iberostar Tenerife,Alicante,2022 NBA Draft Eligible,Spain
132,Ebuka Izundu,PF,6-10,232,Real Betis Energia Plus,Charlotte (NC),"2019 NBA Draft, Undrafted",United States
133,Edwin Jackson,SG,6-2,201,Movistar Estudiantes,Pau,"2011 NBA Draft, Undrafted",France
134,Delroy James,PF,6-8,220,UCAM Murcia,Brooklyn (NY),"2011 NBA Draft, Undrafted",United States
135,Matt Janning,GF,6-4,198,KIROLBET Baskonia Vitoria-Gasteiz,Watertown (MN),"2010 NBA Draft, Undrafted",United StatesGeorgia
136,David Jelinek,SG,6-5,190,MoraBanc Andorra,Brno,"2012 NBA Draft, Undrafted",Czech Republic
137,Millan Jimenez,GF,6-6,-,Valencia Basket,,2024 NBA Draft Eligible,Spain
138,Jerome Jordan,C,7-0,253,Real Betis Energia Plus,Kingston,2010 Rnd 2 Pick 14,Jamaica
139,Guillem Jou,SG,6-6,180,ICL Manresa,Girona,"2019 NBA Draft, Undrafted",Spain
140,Javier Justiz,C,6-9,210,Tecnyconta Zaragoza,Santiago de Cuba,"2014 NBA Draft, Undrafted",Cuba
141,Kenny Kadji,C,6-10,242,Movistar Estudiantes,Douala,"2013 NBA Draft, Undrafted",CameroonUnited States
142,Kerem Kanter,PF,6-10,240,Divina Seguros Joventut,Gemlik,"2018 NBA Draft, Undrafted",Turkey
143,Jovan Kljajic,SG,6-6,200,Herbalife Gran Canaria,Podgorica,2023 NBA Draft Eligible,Montenegro
144,Lahaou Konate,GF,6-5,176,Iberostar Tenerife,Creteil,"2013 NBA Draft, Undrafted",France
145,Martin Krampelj,PF,6-9,235,MoraBanc Andorra,Ljubljana,"2019 NBA Draft, Undrafted",Slovenia
146,Dejan Kravic,C,7-0,240,Rio Natura Monbus Obradoiro,London,"2014 NBA Draft, Undrafted",CanadaSerbia
147,David Kravish,PF,6-10,240,ICL Manresa,Lee's Summit (MO),"2015 NBA Draft, Undrafted",United States
148,Vit Krejci,PG,6-8,195,Tecnyconta Zaragoza,Strakonice,2022 NBA Draft Eligible,Czech Republic
149,Arnoldas Kulboka,SF,6-10,215,RETAbet Bilbao Basket,Marijampole,2018 Rnd 2 Pick 25,Lithuania
150,Kyle Kuric,SG,6-4,195,FC Barcelona Lassa,Evansville (IN),"2012 NBA Draft, Undrafted",United States
151,Louis Labeyrie,PF,6-10,200,Valencia Basket,Gonesse,2014 Rnd 2 Pick 27,France
152,Ben Lammers,C,6-10,234,RETAbet Bilbao Basket,San Antonio (TX),"2018 NBA Draft, Undrafted",United States
153,Nicolas Laprovittola,PG,6-4,180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina
154,Giannoulis Larentzakis,GF,6-5,200,UCAM Murcia,Amarousio,"2015 NBA Draft, Undrafted",Greece
155,Manu Lecomte,G,5-11,175,UCAM Murcia,Ixelles,"2018 NBA Draft, Undrafted",Belgium
156,DeAndre Liggins,G,6-6,210,Montakit Fuenlabrada,Chicago (IL),2011 Rnd 2 Pick 23,United States
157,Augusto Cesar Lima,PF,6-10,235,San Pablo Inmobiliaria Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil
158,Nacho Llovet,FC,6-8,225,MoraBanc Andorra,Barcelona,"2013 NBA Draft, Undrafted",Spain
159,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
160,Alex Lopez,SG,6-2,196,Iberostar Tenerife,Tenerife,"2013 NBA Draft, Undrafted",Spain
161,Lautaro Tomas Lopez,PG,6-3,154,KIROLBET Baskonia Vitoria-Gasteiz,Resistencia,2021 NBA Draft Eligible,Argentina
162,Xabier Lopez-Arostegui,GF,6-7,215,Divina Seguros Joventut,Bilbao,"2019 NBA Draft, Undrafted",Spain
163,Jordan Loyd,G,6-4,210,Valencia Basket,Atlanta (GA),"2016 NBA Draft, Undrafted",United States
164,Gabriel Lundberg,G,6-4,202,Iberostar Tenerife,Copenhagen,"2016 NBA Draft, Undrafted",Denmark
165,Rafa Luz,PG,6-3,202,UCAM Murcia,Sao Paulo,"2014 NBA Draft, Undrafted",Brazil
166,William Magarity,FC,6-11,250,ICL Manresa,Rasunda,"2018 NBA Draft, Undrafted",Sweden
167,Fletcher Magee,SG,6-4,195,Rio Natura Monbus Obradoiro,Orlando (FL),"2019 NBA Draft, Undrafted",United States
168,Rinalds Malmanis,PF,6-9,210,UCAM Murcia,Valmiera,"2018 NBA Draft, Undrafted",Latvia
169,Vanja Marinkovic,G,6-6,194,Valencia Basket,Belgrade,2019 Rnd 2 Pick 30,Serbia
170,Nacho Martin,PF,6-9,233,Real Betis Energia Plus,Valladolid,"2005 NBA Draft, Undrafted",Spain
171,Rafa Martinez,SG,6-3,198,RETAbet Bilbao Basket,Barcelona,"2004 NBA Draft, Undrafted",Spain
172,Sergi Martinez,F,6-7,220,FC Barcelona Lassa,Barcelona,2021 NBA Draft Eligible,Spain
173,Frantz Massenat,G,6-4,190,MoraBanc Andorra,Ewing (NJ),"2014 NBA Draft, Undrafted",United States
174,Edon Maxhuni,PG,6-2,185,Herbalife Gran Canaria,Hyvinkaa,2020 NBA Draft Eligible,Finland
175,Bo McCalebb,PG,5-10,180,Montakit Fuenlabrada,New Orleans (LA),"2008 NBA Draft, Undrafted",United StatesNorth Macedonia
176,Thaddeus McFadden,SG,6-2,176,San Pablo Inmobiliaria Burgos,Flint (MI),"2009 NBA Draft, Undrafted",United StatesGeorgia
177,Salah Mejri,C,7-2,235,Real Madrid,Jendouba,"2008 NBA Draft, Undrafted",Tunisia
178,Gal Mekel,PG,6-3,202,Unicaja Malaga,Ramat HaSharon,"2009 NBA Draft, Undrafted",Israel
179,Jordan Mickey,PF,6-8,235,Real Madrid,Arlington (TX),2015 Rnd 2 Pick 3,United States
180,Dragan Milosavljevic,SG,6-5,200,Unicaja Malaga,Krusevac,"2011 NBA Draft, Undrafted",Serbia
181,Nikola Mirotic,F,6-10,250,FC Barcelona Lassa,Podgorica,2011 Rnd 1 Pick 23,MontenegroSpain
182,Luka Mitrovic,PF,6-8,200,ICL Manresa,Novi Sad,2015 Rnd 2 Pick 30,Serbia
183,Egidijus Mockevicius,PF,6-10,237,Montakit Fuenlabrada,Kursenai,"2016 NBA Draft, Undrafted",Lithuania
184,Conor Morgan,FC,6-9,220,Divina Seguros Joventut,Victoria,"2017 NBA Draft, Undrafted",Canada
185,Brock Motum,PF,6-10,235,Valencia Basket,Sunnybank,"2013 NBA Draft, Undrafted",Australia
186,Byron Mullens,C,7-0,270,Movistar Estudiantes,Canal Winchester (OH),2009 Rnd 1 Pick 24,United States
187,Javier Cal Muniz,PG,6-3,-,Rio Natura Monbus Obradoiro,,"2018 NBA Draft, Undrafted",Spain
188,Alvaro Munoz,SF,6-5,200,Rio Natura Monbus Obradoiro,Avila,"2012 NBA Draft, Undrafted",SpainGermany
189,Dejan Musli,C,7-0,242,MoraBanc Andorra,Prizren,"2013 NBA Draft, Undrafted",Serbia
190,Mario Nakic,GF,6-6,185,Real Madrid,Belgrade,2023 NBA Draft Eligible,Serbia
191,David Navarro,SG,6-4,180,Rio Natura Monbus Obradoiro,Barcelona,"2005 NBA Draft, Undrafted",Spain
192,Maurice Ndour,F,6-9,200,Valencia Basket,Thies,"2015 NBA Draft, Undrafted",Senegal
193,Luke Nelson,G,6-3,190,ICL Manresa,Worthing,"2017 NBA Draft, Undrafted",England
194,Mamadou Niang,C,6-10,235,Real Betis Energia Plus,Thies,"2016 NBA Draft, Undrafted",Senegal
195,Stan Okoye,GF,6-6,215,Herbalife Gran Canaria,Raleigh (NC),"2013 NBA Draft, Undrafted",United StatesNigeria
196,Albert Oliver,PG,6-2,185,Real Betis Energia Plus,Barcelona,"2000 NBA Draft, Undrafted",Spain
197,Alen Omic,C,7-2,225,Divina Seguros Joventut,Tuzla,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
198,Pierre Oriola,PF,6-8,235,FC Barcelona Lassa,Tarrega,"2014 NBA Draft, Undrafted",Spain
199,David Orrit,PG,6-2,160,ICL Manresa,Santpedor,2022 NBA Draft Eligible,Spain
200,Juan Palacios,F,6-9,244,Movistar Estudiantes,Medellin,"2008 NBA Draft, Undrafted",Colombia
201,Kevin Pangos,PG,6-2,185,FC Barcelona Lassa,Newmarket,"2015 NBA Draft, Undrafted",Canada
202,Joel Parra,F,6-8,210,Divina Seguros Joventut,Barcelona,2022 NBA Draft Eligible,Spain
203,Arnau Parrado,C,6-9,220,Divina Seguros Joventut,Barcelona,2022 NBA Draft Eligible,Spain
204,Oriol Pauli,GF,6-7,185,Herbalife Gran Canaria,Girona,"2016 NBA Draft, Undrafted",Spain
205,Marc Penarroya,PG,5-11,178,ICL Manresa,Manresa,2024 NBA Draft Eligible,Spain
206,Ajdin Penava,F,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Sarajevo,"2018 NBA Draft, Undrafted",Bosnia and Herzegovina
207,Dani Perez,PG,6-0,188,ICL Manresa,Barcelona,"2012 NBA Draft, Undrafted",Spain
208,Tyson Perez,PF,6-8,214,MoraBanc Andorra,Santo Domingo,"2018 NBA Draft, Undrafted",SpainDominican Republic
209,Achille Polonara,PF,6-8,198,KIROLBET Baskonia Vitoria-Gasteiz,Ancona,"2013 NBA Draft, Undrafted",Italy
210,Pepe Pozas,PG,6-0,187,Rio Natura Monbus Obradoiro,Malaga,"2014 NBA Draft, Undrafted",Spain
211,Klemen Prepelic,SG,6-3,170,Divina Seguros Joventut,Maribor,"2014 NBA Draft, Undrafted",Slovenia
212,Phil Pressey,PG,5-11,175,Movistar Estudiantes,Dallas (TX),"2013 NBA Draft, Undrafted",United States
213,Artem Pustovyi,C,7-2,212,FC Barcelona Lassa,Sofiivka,"2014 NBA Draft, Undrafted",Ukraine
214,Kareem Queeley,G,6-3,202,San Pablo Inmobiliaria Burgos,Saint Kitts,2023 NBA Draft Eligible,Saint Kitts and NevisEngland
215,Xavi Rabaseda,GF,6-7,205,Herbalife Gran Canaria,Ripoll,"2011 NBA Draft, Undrafted",Spain
216,Nikola Radicevic,PG,6-5,200,UCAM Murcia,Cacak,2015 Rnd 2 Pick 27,Serbia
217,Dino Radoncic,GF,6-8,225,UCAM Murcia,Zrenjanin,2021 NBA Draft Eligible,SerbiaMontenegro
218,Nemanja Radovic,PF,6-8,215,Tecnyconta Zaragoza,Berane,"2013 NBA Draft, Undrafted",Montenegro
219,Jerome Randle,G,5-10,172,Montakit Fuenlabrada,Chicago (IL),"2010 NBA Draft, Undrafted",United StatesUkraine
220,Anthony Randolph,PF,6-11,225,Real Madrid,Wurzbach,2008 Rnd 1 Pick 14,United StatesSlovenia
221,Felipe Reyes,FC,6-9,265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain
222,Pau Ribas,SG,6-3,165,FC Barcelona Lassa,Barcelona,"2009 NBA Draft, Undrafted",Spain
223,Nicolas Richotti,SG,6-0,176,Montakit Fuenlabrada,Bahia Blanca,"2008 NBA Draft, Undrafted",ArgentinaItaly
224,Tomeu Rigo,SG,6-3,176,RETAbet Bilbao Basket,Campos,"2019 NBA Draft, Undrafted",Spain
225,Jasiel Rivero,C,6-9,220,San Pablo Inmobiliaria Burgos,Havana,"2015 NBA Draft, Undrafted",Cuba
226,K.C. Rivers,SF,6-5,198,Real Betis Energia Plus,Charlotte (NC),"2009 NBA Draft, Undrafted",United States
227,Sergio Rodriguez Febles,SF,6-7,202,RETAbet Bilbao Basket,Los Realejos,"2015 NBA Draft, Undrafted",Spain
228,Sadiel Rojas,GF,6-4,190,UCAM Murcia,Arlington (TX),"2011 NBA Draft, Undrafted",United StatesDominican Republic
229,Jonathan Rousselle,PG,6-3,185,RETAbet Bilbao Basket,Seclin,"2012 NBA Draft, Undrafted",France
