,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
230,Fabio Santana,PG,6-2,185,Herbalife Gran Canaria,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
231,Jorge Sanz,PG,6-2,170,Montakit Fuenlabrada,Madrid,"2015 NBA Draft, Undrafted",Spain
232,Joan Sastre,SF,6-7,200,Tecnyconta Zaragoza,Inca,"2013 NBA Draft, Undrafted",Spain
233,Romain Sato,GF,6-5,205,Valencia Basket,Bimbo,2004 Rnd 2 Pick 23,Central African Republic
234,Tomas Satoransky,PG,6-7,210,FC Barcelona Lassa,Prague,2012 Rnd 2 Pick 2,Czech Republic
235,Sitapha Savane,FC,6-8,230,Divina Seguros Joventut,Dakar,"2000 NBA Draft, Undrafted",SenegalSpain
236,Thomas Schreiner,PG,6-5,194,MoraBanc Andorra,St. Polten,"2009 NBA Draft, Undrafted",Austria
237,Tadas Sedekerskis,SF,6-8,205,KIROLBET Baskonia Vitoria-Gasteiz,Klaipeda,2020 NBA Draft Eligible,Lithuania
238,D.J. Seeley,G,6-4,195,ICL Manresa,Redding (CA),"2013 NBA Draft, Undrafted",United States
239,Blagota Sekulic,FC,6-8,232,Iberostar Tenerife,Podgorica,"2004 NBA Draft, Undrafted",Montenegro
240,Tornike Shengelia,PF,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2012 Rnd 2 Pick 24,Georgia
241,Giorgi Shermadini,C,7-1,250,Tecnyconta Zaragoza,Natakhtari,"2011 NBA Draft, Undrafted",Georgia
242,Luke Sikma,PF,6-8,235,Iberostar Tenerife,Bellevue (WA),"2011 NBA Draft, Undrafted",United States
243,Diamon Simpson,F,6-7,230,Movistar Estudiantes,Hayward (CA),"2009 NBA Draft, Undrafted",United States
244,Marcus Slaughter,PF,6-9,230,Real Madrid,San Leandro (CA),"2006 NBA Draft, Undrafted",United States
245,Uros Slokar,PF,6-11,238,Movistar Estudiantes,Ljubljana,2005 Rnd 2 Pick 28,Slovenia
246,Rolands Smits,SF,6-10,235,Montakit Fuenlabrada,Valmiera,"2017 NBA Draft, Undrafted",Latvia
247,Morayo Soluade,PG,6-5,196,Unicaja Malaga,London,"2017 NBA Draft, Undrafted",England
248,Jon Stefansson,G,6-5,200,Unicaja Malaga,Reykjavik,"2003 NBA Draft, Undrafted",Iceland
249,Vojdan Stojanovski,SG,6-5,194,MoraBanc Andorra,Skopje,"2009 NBA Draft, Undrafted",North Macedonia
250,Alex Suarez,PF,6-10,214,Divina Seguros Joventut,Mahon,"2015 NBA Draft, Undrafted",Spain
251,Carlos Suarez,SF,6-8,233,Unicaja Malaga,Madrid,"2008 NBA Draft, Undrafted",Spain
252,Emir Sulejmanovic,PF,6-9,220,FC Barcelona Lassa,Zepa,"2017 NBA Draft, Undrafted",Bosnia and Herzegovina
253,DaJuan Summers,PF,6-8,230,Herbalife Gran Canaria,Baltimore (MD),2009 Rnd 2 Pick 5,United States
254,Milan Suskavcevic,C,6-10,234,Montakit Fuenlabrada,Cetinje,"2019 NBA Draft, Undrafted",Montenegro
255,Goran Suton,C,6-8,245,Divina Seguros Joventut,Sarajevo,2009 Rnd 2 Pick 20,Bosnia and HerzegovinaUnited States
256,Edy Tavares,C,7-3,265,Herbalife Gran Canaria,Maio,2014 Rnd 2 Pick 13,Cape Verde
257,Xavier Thames,G,6-3,187,Real Betis Energia Plus,Sacramento (CA),2014 Rnd 2 Pick 29,United States
258,Deshaun Thomas,F,6-7,220,FC Barcelona Lassa,Fort Wayne (IN),2013 Rnd 2 Pick 28,United States
259,Will Thomas,PF,6-7,230,Unicaja Malaga,Baltimore (MD),"2008 NBA Draft, Undrafted",United States
260,Kim Tillie,PF,6-11,230,KIROLBET Baskonia Vitoria-Gasteiz,Cagnes-sur-Mer,"2010 NBA Draft, Undrafted",France
261,Dejan Todorovic,SG,6-6,196,RETAbet Bilbao Basket,Mrkonjic Grad,"2016 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
262,Marko Todorovic,C,6-10,240,RETAbet Bilbao Basket,Podgorica,2013 Rnd 2 Pick 15,Montenegro
263,Pere Tomas,SF,6-6,198,Tecnyconta Zaragoza,Llucmajor,"2011 NBA Draft, Undrafted",Spain
264,Ante Tomic,C,7-1,225,FC Barcelona Lassa,Dubrovnik,2008 Rnd 2 Pick 14,Croatia
265,Ryan Toolson,SG,6-4,190,Unicaja Malaga,Gilbert (AZ),"2009 NBA Draft, Undrafted",United States
266,Jordi Trias,PF,6-10,209,MoraBanc Andorra,Girona,"2002 NBA Draft, Undrafted",Spain
267,Juan Jose Triguero,C,7-0,249,Rio Natura Monbus Obradoiro,Gandia,"2005 NBA Draft, Undrafted",Spain
268,Michail Tsairelis,PF,6-10,225,Iberostar Tenerife,Thessaloniki,"2010 NBA Draft, Undrafted",Greece
269,Ricardo Uriz,PG,6-2,176,Iberostar Tenerife,Pamplona,"2002 NBA Draft, Undrafted",Spain
270,Alex Urtasun,G,6-4,187,Real Betis Energia Plus,Pamplona,"2006 NBA Draft, Undrafted",Spain
271,Txemi Urtasun,SG,6-4,185,Herbalife Gran Canaria,Pamplona,"2006 NBA Draft, Undrafted",Spain
272,Federico Van Lacke,G,6-3,187,Movistar Estudiantes,Santa Fe,"2002 NBA Draft, Undrafted",SpainArgentina
273,Sam Van Rossom,PG,6-2,180,Valencia Basket,Ghent,"2008 NBA Draft, Undrafted",Belgium
274,Kostas Vasiliadis,F,6-7,225,Unicaja Malaga,Thessaloniki,"2006 NBA Draft, Undrafted",Greece
275,Fran Vazquez,FC,6-10,230,Unicaja Malaga,Lugo,2005 Rnd 1 Pick 11,Spain
276,Javier Vega,FC,6-8,220,Montakit Fuenlabrada,Madrid,"2010 NBA Draft, Undrafted",Spain
277,Albert Ventura,SG,6-5,180,Divina Seguros Joventut,Badalona,"2014 NBA Draft, Undrafted",Spain
278,Edgar Vicedo,SF,6-8,200,Movistar Estudiantes,Madrid,"2016 NBA Draft, Undrafted",Spain
279,Sergi Vidal,GF,6-7,200,Divina Seguros Joventut,Badalona,"2003 NBA Draft, Undrafted",Spain
280,Eric Vila,F,6-11,210,FC Barcelona Lassa,Girona,2021 NBA Draft Eligible,Spain
281,Luca Vitali,PG,6-7,200,Herbalife Gran Canaria,Bologna,"2008 NBA Draft, Undrafted",Italy
282,Guillem Vives,PG,6-3,172,Valencia Basket,Barcelona,"2015 NBA Draft, Undrafted",Spain
283,Sasha Vujacic,G,6-7,195,KIROLBET Baskonia Vitoria-Gasteiz,Maribor,2004 Rnd 1 Pick 27,Slovenia
284,Adam Waczynski,GF,6-6,210,Rio Natura Monbus Obradoiro,Torun,"2011 NBA Draft, Undrafted",Poland
285,Dane Watts,F,6-8,225,Real Betis Energia Plus,Warrensburg (MO),"2008 NBA Draft, Undrafted",United States
286,D.J. White,PF,6-9,250,KIROLBET Baskonia Vitoria-Gasteiz,Tuscaloosa (AL),2008 Rnd 1 Pick 29,United States
287,Davin White,PG,6-1,185,ICL Manresa,Phoenix (AZ),"2005 NBA Draft, Undrafted",United States
288,Latavious Williams,F,6-8,225,RETAbet Bilbao Basket,Starkville (MS),2010 Rnd 2 Pick 18,United States
289,Scott Wood,SF,6-6,175,UCAM Murcia,Marion (IN),"2013 NBA Draft, Undrafted",United States
290,Ben Woodside,PG,5-11,185,Real Betis Energia Plus,Albert Lea (MN),"2009 NBA Draft, Undrafted",United States
291,Ethan Wragge,F,6-7,225,RETAbet Bilbao Basket,Eden Prairie (MN),"2014 NBA Draft, Undrafted",United States
292,Alex Young,SF,6-7,-,Movistar Estudiantes,Madrid,"2019 NBA Draft, Undrafted",Spain
293,Santiago Yusta,SF,6-6,183,Real Madrid,Madrid,"2019 NBA Draft, Undrafted",Spain
294,Asier Zengotitabengoa,SF,6-5,190,MoraBanc Andorra,Vitoria,"2010 NBA Draft, Undrafted",Spain
