,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
232,Matic Rebec,PG,5-11,150,Delteco GBC,Postojna,"2017 NBA Draft, Undrafted",Slovenia
233,Lucio Redivo,G,6-0,165,Cafes Candelas Breogan,Buenos Aires,"2016 NBA Draft, Undrafted",Argentina
234,Alex Renfroe,G,6-2,160,ICL Manresa,Hermitage (TN),"2009 NBA Draft, Undrafted",United StatesBosnia and Herzegovina
235,Felipe Reyes,FC,6-9,265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain
236,Pau Ribas,SG,6-3,165,FC Barcelona Lassa,Barcelona,"2009 NBA Draft, Undrafted",Spain
237,Nicolas Richotti,SG,6-0,176,Iberostar Tenerife,Bahia Blanca,"2008 NBA Draft, Undrafted",ArgentinaItaly
238,Brian Roberts,PG,6-1,173,Unicaja Malaga,Toledo (OH),"2008 NBA Draft, Undrafted",United States
239,Jordi Rodriguez,G,6-0,-,Divina Seguros Joventut,,2022 NBA Draft Eligible,Spain
240,Samuel Rodriguez,PF,6-8,-,Iberostar Tenerife,San Cristobal de La Laguna,"2019 NBA Draft, Undrafted",Spain
241,Sadiel Rojas,GF,6-4,190,UCAM Murcia,Arlington (TX),"2011 NBA Draft, Undrafted",United StatesDominican Republic
242,Jacob Round,G,6-4,191,Montakit Fuenlabrada,Birmingham,2022 NBA Draft Eligible,England
243,E.J. Rowland,G,6-3,205,Montakit Fuenlabrada,Salinas (CA),"2005 NBA Draft, Undrafted",United StatesBulgaria
244,Damjan Rudez,SF,6-10,228,UCAM Murcia,Zagreb,"2008 NBA Draft, Undrafted",Croatia
245,Luka Rupnik,PG,6-1,157,Montakit Fuenlabrada,Ljubljana,"2015 NBA Draft, Undrafted",Slovenia
246,Albert Sabat,PG,6-2,150,Rio Natura Monbus Obradoiro,Girona,"2007 NBA Draft, Undrafted",Spain
247,Sebastian Saiz,C,6-9,240,Iberostar Tenerife,Madrid,"2017 NBA Draft, Undrafted",Spain
248,Jordan Sakho,C,6-10,220,ICL Manresa,Kinshasa,"2019 NBA Draft, Undrafted",Democratic Republic of the CongoSpain
249,Sasu Salin,SG,6-3,191,Unicaja Malaga,Helsinki,"2013 NBA Draft, Undrafted",Finland
250,Paco Salvador,FC,6-8,-,ICL Manresa,Almeria,2021 NBA Draft Eligible,Spain
251,Miquel Salvo,F,6-9,198,Delteco GBC,Tarragona,"2016 NBA Draft, Undrafted",Spain
252,Fernando San Emeterio,GF,6-6,232,Valencia Basket,Santander,"2006 NBA Draft, Undrafted",Spain
253,Rodrigo San Miguel,PG,6-3,194,Iberostar Tenerife,Zaragoza,"2007 NBA Draft, Undrafted",Spain
254,Duda Sanadze,F,6-5,220,Delteco GBC,Tbilisi,"2016 NBA Draft, Undrafted",Georgia
255,Pablo Sanchez,PG,6-4,-,Unicaja Malaga,,2024 NBA Draft Eligible,Spain
256,Landing Sane,PF,6-10,220,MoraBanc Andorra,Ermont,"2012 NBA Draft, Undrafted",France
257,Harold Santa Cruz,G,6-3,157,Real Madrid,Alcorcon,2026 NBA Draft Eligible,Spain
258,Fabio Santana,PG,6-2,185,Tecnyconta Zaragoza,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
259,Joan Sastre,SF,6-7,200,Valencia Basket,Inca,"2013 NBA Draft, Undrafted",Spain
260,Heiko Schaffartzik,PG,6-0,185,Tecnyconta Zaragoza,Berlin,"2006 NBA Draft, Undrafted",Germany
261,Tadas Sedekerskis,SF,6-8,205,KIROLBET Baskonia Vitoria-Gasteiz,Klaipeda,2020 NBA Draft Eligible,Lithuania
262,Renaldas Seibutis,SG,6-5,176,Tecnyconta Zaragoza,Sventoji,2007 Rnd 2 Pick 20,Lithuania
263,Blagota Sekulic,FC,6-8,232,Delteco GBC,Podgorica,"2004 NBA Draft, Undrafted",Montenegro
264,Pierre Wally Sene,F,6-7,-,UCAM Murcia,,2025 NBA Draft Eligible,Senegal
265,Kevin Seraphin,FC,6-10,278,FC Barcelona Lassa,Cayenne,2010 Rnd 1 Pick 17,France
266,Tornike Shengelia,PF,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2012 Rnd 2 Pick 24,Georgia
267,Giorgi Shermadini,C,7-1,250,Unicaja Malaga,Natakhtari,"2011 NBA Draft, Undrafted",Georgia
268,Shavon Shields,GF,6-7,225,KIROLBET Baskonia Vitoria-Gasteiz,Olathe (KS),"2016 NBA Draft, Undrafted",United States
269,John Shurna,F,6-9,215,MoraBanc Andorra,Glen Ellyn (IL),"2012 NBA Draft, Undrafted",United States
270,Yankuba Sima,C,6-11,225,ICL Manresa,Girona,"2018 NBA Draft, Undrafted",Spain
271,Ben Simons,F,6-8,206,Rio Natura Monbus Obradoiro,Cadillac (MI),"2013 NBA Draft, Undrafted",United States
272,Kyle Singler,F,6-8,228,Rio Natura Monbus Obradoiro,Medford (OR),2011 Rnd 2 Pick 3,United States
273,Chris Singleton,FC,6-8,228,FC Barcelona Lassa,Canton (GA),2011 Rnd 1 Pick 18,United States
274,Rolands Smits,SF,6-10,235,FC Barcelona Lassa,Valmiera,"2017 NBA Draft, Undrafted",Latvia
275,Ovie Soko,SF,6-8,225,UCAM Murcia,London,"2014 NBA Draft, Undrafted",England
276,Adams Sola,G,6-5,165,Movistar Estudiantes,Leganes,2022 NBA Draft Eligible,Spain
277,Nick Spires,F,6-9,215,Rio Natura Monbus Obradoiro,Royal Tunbridge Wells,"2016 NBA Draft, Undrafted",EnglandSweden
278,Lucca Staiger,SG,6-5,205,Iberostar Tenerife,Ulm,"2012 NBA Draft, Undrafted",Germany
279,Kendall Stephens,G,6-7,205,Rio Natura Monbus Obradoiro,St. Charles (IL),"2018 NBA Draft, Undrafted",United States
280,Oliver Stevic,FC,6-10,220,MoraBanc Andorra,Belgrade,"2006 NBA Draft, Undrafted",Serbia
281,Morgan Stilma,C,6-8,-,Unicaja Malaga,,2022 NBA Draft Eligible,Netherlands
282,D.J. Strawberry,G,6-5,205,Herbalife Gran Canaria,New York (NY),2007 Rnd 2 Pick 29,United StatesCameroon
283,Mads Sturup,SF,6-5,194,Iberostar Tenerife,Gladsaxe,"2019 NBA Draft, Undrafted",Denmark
284,Carlos Suarez,SF,6-8,233,Unicaja Malaga,Madrid,"2008 NBA Draft, Undrafted",Spain
285,Emir Sulejmanovic,PF,6-9,220,Cafes Candelas Breogan,Zepa,"2017 NBA Draft, Undrafted",Bosnia and Herzegovina
286,Goran Suton,C,6-8,245,Movistar Estudiantes,Sarajevo,2009 Rnd 2 Pick 20,Bosnia and HerzegovinaUnited States
287,Dominique Sutton,GF,6-5,212,San Pablo Inmobiliaria Burgos,Durham (NC),"2012 NBA Draft, Undrafted",United States
288,Amar Sylla,C,6-9,190,Real Madrid,Dakar,2023 NBA Draft Eligible,Senegal
289,Alex Tamayo,F,6-7,218,Movistar Estudiantes,Lusikisiki,2022 NBA Draft Eligible,South Africa
290,Edy Tavares,C,7-3,265,Real Madrid,Maio,2014 Rnd 2 Pick 13,Cape Verde
291,Jeffery Taylor,SF,6-7,225,Real Madrid,Norrkoping,2012 Rnd 2 Pick 1,Sweden
292,Jordan Theodore,PG,6-1,175,ICL Manresa,Englewood (NJ),"2012 NBA Draft, Undrafted",United StatesNorth Macedonia
293,Matt Thomas,G,6-5,190,Valencia Basket,Onalaska (WI),"2017 NBA Draft, Undrafted",United States
294,Will Thomas,PF,6-7,230,Valencia Basket,Baltimore (MD),"2008 NBA Draft, Undrafted",United States
295,Trey Thompkins,PF,6-10,245,Real Madrid,Lithonia (GA),2011 Rnd 2 Pick 7,United States
296,Deon Thompson,PF,6-8,250,San Pablo Inmobiliaria Burgos,Torrance (CA),"2010 NBA Draft, Undrafted",United StatesIvory Coast
297,Kim Tillie,PF,6-11,230,Herbalife Gran Canaria,Cagnes-sur-Mer,"2010 NBA Draft, Undrafted",France
298,Mike Tobey,C,7-0,260,Valencia Basket,Monroe (NY),"2016 NBA Draft, Undrafted",United States
299,Dejan Todorovic,SG,6-6,196,UCAM Murcia,Mrkonjic Grad,"2016 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
300,Marko Todorovic,C,6-10,240,Divina Seguros Joventut,Podgorica,2013 Rnd 2 Pick 15,Montenegro
301,Pere Tomas,SF,6-6,198,ICL Manresa,Llucmajor,"2011 NBA Draft, Undrafted",Spain
302,Ante Tomic,C,7-1,225,FC Barcelona Lassa,Dubrovnik,2008 Rnd 2 Pick 14,Croatia
303,Ryan Toolson,SG,6-4,190,ICL Manresa,Gilbert (AZ),"2009 NBA Draft, Undrafted",United States
304,Pau Trevino,SF,6-5,-,ICL Manresa,,2024 NBA Draft Eligible,Spain
305,Kevin Tumba,PF,6-9,245,UCAM Murcia,Lubumbashi,"2013 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium
306,"Reggie Upshaw, Jr.",F,6-7,222,MoraBanc Andorra,Chattanooga (TN),"2017 NBA Draft, Undrafted",United States
307,Ander Urdiain,SF,6-5,190,Tecnyconta Zaragoza,Pamplona,2022 NBA Draft Eligible,Spain
308,Ricardo Uriz,PG,6-2,176,Cafes Candelas Breogan,Pamplona,"2002 NBA Draft, Undrafted",Spain
309,Alex Urtasun,G,6-4,187,UCAM Murcia,Pamplona,"2006 NBA Draft, Undrafted",Spain
310,Robert Valge,SG,6-3,181,San Pablo Inmobiliaria Burgos,Tallinn,"2019 NBA Draft, Undrafted",Estonia
311,Federico Van Lacke,G,6-3,187,Delteco GBC,Santa Fe,"2002 NBA Draft, Undrafted",SpainArgentina
312,Sam Van Rossom,PG,6-2,180,Valencia Basket,Ghent,"2008 NBA Draft, Undrafted",Belgium
313,Kostas Vasiliadis,F,6-7,225,Rio Natura Monbus Obradoiro,Thessaloniki,"2006 NBA Draft, Undrafted",Greece
314,Fran Vazquez,FC,6-10,230,Tecnyconta Zaragoza,Lugo,2005 Rnd 1 Pick 11,Spain
315,Javier Vega,FC,6-8,220,San Pablo Inmobiliaria Burgos,Madrid,"2010 NBA Draft, Undrafted",Spain
316,Siim-Sander Vene,SF,6-7,207,Herbalife Gran Canaria,Tartu,"2012 NBA Draft, Undrafted",Estonia
317,Albert Ventura,SG,6-5,180,Divina Seguros Joventut,Badalona,"2014 NBA Draft, Undrafted",Spain
318,Valters Veveris,SG,6-4,181,MoraBanc Andorra,Valmiera,2022 NBA Draft Eligible,Latvia
319,Edgar Vicedo,SF,6-8,200,Movistar Estudiantes,Madrid,"2016 NBA Draft, Undrafted",Spain
320,Sergi Vidal,GF,6-7,200,Cafes Candelas Breogan,Badalona,"2003 NBA Draft, Undrafted",Spain
321,Luca Vildoza,PG,6-3,190,KIROLBET Baskonia Vitoria-Gasteiz,Buenos Aires,"2017 NBA Draft, Undrafted",Argentina
322,Rafael Villar,-,-,-,FC Barcelona Lassa,,2022 NBA Draft Eligible,Spain
323,Michele Vitali,G,6-5,196,MoraBanc Andorra,Bologna,"2013 NBA Draft, Undrafted",Italy
324,Guillem Vives,PG,6-3,172,Valencia Basket,Barcelona,"2015 NBA Draft, Undrafted",Spain
325,Johannes Voigtmann,C,6-11,228,KIROLBET Baskonia Vitoria-Gasteiz,Eisenach,"2014 NBA Draft, Undrafted",Germany
326,Adam Waczynski,GF,6-6,210,Unicaja Malaga,Torun,"2011 NBA Draft, Undrafted",Poland
327,David Walker,GF,6-6,200,MoraBanc Andorra,Stow (OH),"2016 NBA Draft, Undrafted",United States
328,Davin White,PG,6-1,185,Iberostar Tenerife,Phoenix (AZ),"2005 NBA Draft, Undrafted",United States
329,Shayne Whittington,C,6-11,245,MoraBanc Andorra,Paw Paw (MI),"2014 NBA Draft, Undrafted",United StatesNorth Macedonia
330,Jake Wiley,F,6-8,220,Herbalife Gran Canaria,Bellevue (WA),"2017 NBA Draft, Undrafted",United States
331,Latavious Williams,F,6-8,225,Tecnyconta Zaragoza,Starkville (MS),2010 Rnd 2 Pick 18,United States
332,Kyle Wiltjer,PF,6-10,240,Unicaja Malaga,Portland (OR),"2016 NBA Draft, Undrafted",CanadaUnited States
333,Santiago Yusta,SF,6-6,183,Real Madrid,Madrid,"2019 NBA Draft, Undrafted",Spain
334,Arturs Zagars,PG,6-3,172,Divina Seguros Joventut,Riga,2022 NBA Draft Eligible,Latvia
335,Talib Zanna,PF,6-9,230,Montakit Fuenlabrada,Kaduna,"2014 NBA Draft, Undrafted",Nigeria
336,Nick Zeisloft,G,6-4,185,Delteco GBC,LaGrange (IL),"2016 NBA Draft, Undrafted",United States
337,Paul Zipser,F,6-8,226,San Pablo Inmobiliaria Burgos,Heidelberg,2016 Rnd 2 Pick 18,Germany
338,Tomislav Zubcic,C,6-10,230,ICL Manresa,Zadar,2012 Rnd 2 Pick 26,Croatia
339,Asier de la Iglesia,PF,6-7,235,Delteco GBC,Zumarraga,"2005 NBA Draft, Undrafted",Spain
