,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
228,Fernando San Emeterio,GF,6-6,232,Valencia Basket,Santander,"2006 NBA Draft, Undrafted",Spain
229,Rodrigo San Miguel,PG,6-3,194,Iberostar Tenerife,Zaragoza,"2007 NBA Draft, Undrafted",Spain
230,Alfonso Sanchez,SG,6-4,198,Real Betis Energia Plus,Jaen,"2009 NBA Draft, Undrafted",Spain
231,Joan Sastre,SF,6-7,200,Valencia Basket,Inca,"2013 NBA Draft, Undrafted",Spain
232,Romain Sato,GF,6-5,205,Valencia Basket,Bimbo,2004 Rnd 2 Pick 23,Central African Republic
233,Sitapha Savane,FC,6-8,230,Movistar Estudiantes,Dakar,"2000 NBA Draft, Undrafted",SenegalSpain
234,Emil Savic,SG,6-6,208,Valencia Basket,Zagreb,2020 NBA Draft Eligible,Croatia
235,Hugo Schneider,F,6-6,190,MoraBanc Andorra,Caen,2020 NBA Draft Eligible,FranceAndorra
236,Thomas Schreiner,PG,6-5,194,MoraBanc Andorra,St. Polten,"2009 NBA Draft, Undrafted",Austria
237,Tadas Sedekerskis,SF,6-8,205,KIROLBET Baskonia Vitoria-Gasteiz,Klaipeda,2020 NBA Draft Eligible,Lithuania
238,Blagota Sekulic,FC,6-8,232,Montakit Fuenlabrada,Podgorica,"2004 NBA Draft, Undrafted",Montenegro
239,Wesley Sena,C,6-11,230,FC Barcelona Lassa,Campinas,"2018 NBA Draft, Undrafted",Brazil
240,Miki Servera,SG,6-6,210,Tecnyconta Zaragoza,Palma,"2014 NBA Draft, Undrafted",Spain
241,Tornike Shengelia,PF,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2012 Rnd 2 Pick 24,Georgia
242,Giorgi Shermadini,C,7-1,250,MoraBanc Andorra,Natakhtari,"2011 NBA Draft, Undrafted",Georgia
243,Njegos Sikiras,F,6-8,210,Montakit Fuenlabrada,Pale,2021 NBA Draft Eligible,Bosnia and Herzegovina
244,Luke Sikma,PF,6-8,235,Valencia Basket,Bellevue (WA),"2011 NBA Draft, Undrafted",United States
245,Jamar Smith,SG,6-3,185,Unicaja Malaga,Peoria (IL),"2010 NBA Draft, Undrafted",United States
246,Terry Smith,G,6-1,175,Divina Seguros Joventut,Syracuse (NY),"2008 NBA Draft, Undrafted",United States
247,Rolands Smits,SF,6-10,235,Montakit Fuenlabrada,Valmiera,"2017 NBA Draft, Undrafted",Latvia
248,Ovie Soko,SF,6-8,225,UCAM Murcia,London,"2014 NBA Draft, Undrafted",England
249,Oliver Stevic,FC,6-10,220,MoraBanc Andorra,Belgrade,"2006 NBA Draft, Undrafted",Serbia
250,Vojdan Stojanovski,SG,6-5,194,Real Betis Energia Plus,Skopje,"2009 NBA Draft, Undrafted",North Macedonia
251,Garrett Stutz,C,7-0,255,Divina Seguros Joventut,Kansas City (MO),"2012 NBA Draft, Undrafted",United States
252,Alex Suarez,PF,6-10,214,Real Madrid,Mahon,"2015 NBA Draft, Undrafted",Spain
253,Carlos Suarez,SF,6-8,233,Unicaja Malaga,Madrid,"2008 NBA Draft, Undrafted",Spain
254,Scott Suggs,SG,6-7,199,ICL Manresa,Washington (MO),"2013 NBA Draft, Undrafted",United States
255,Goran Suton,C,6-8,245,Movistar Estudiantes,Sarajevo,2009 Rnd 2 Pick 20,Bosnia and HerzegovinaUnited States
256,Jonathan Tabu,PG,6-0,194,RETAbet Bilbao Basket,Kinshasa,"2007 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium
257,Jeffery Taylor,SF,6-7,225,Real Madrid,Norrkoping,2012 Rnd 2 Pick 1,Sweden
258,Will Thomas,PF,6-7,230,Valencia Basket,Baltimore (MD),"2008 NBA Draft, Undrafted",United States
259,Trey Thompkins,PF,6-10,245,Real Madrid,Lithonia (GA),2011 Rnd 2 Pick 7,United States
260,Kim Tillie,PF,6-11,230,KIROLBET Baskonia Vitoria-Gasteiz,Cagnes-sur-Mer,"2010 NBA Draft, Undrafted",France
261,Mike Tobey,C,7-0,260,Valencia Basket,Monroe (NY),"2016 NBA Draft, Undrafted",United States
262,Dejan Todorovic,SG,6-6,196,RETAbet Bilbao Basket,Mrkonjic Grad,"2016 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
263,Pere Tomas,SF,6-6,198,ICL Manresa,Llucmajor,"2011 NBA Draft, Undrafted",Spain
264,Ante Tomic,C,7-1,225,FC Barcelona Lassa,Dubrovnik,2008 Rnd 2 Pick 14,Croatia
265,Ali Traore,C,6-10,250,Movistar Estudiantes,Treichville,"2007 NBA Draft, Undrafted",FranceIvory Coast
266,Joe Trapani,PF,6-8,226,ICL Manresa,Madison (CT),"2011 NBA Draft, Undrafted",United StatesItaly
267,Juan Jose Triguero,C,7-0,249,Real Betis Energia Plus,Gandia,"2005 NBA Draft, Undrafted",Spain
268,Kevin Tumba,PF,6-9,245,UCAM Murcia,Lubumbashi,"2013 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium
269,Txemi Urtasun,SG,6-4,185,Rio Natura Monbus Obradoiro,Pamplona,"2006 NBA Draft, Undrafted",Spain
270,Sam Van Rossom,PG,6-2,180,Valencia Basket,Ghent,"2008 NBA Draft, Undrafted",Belgium
271,Bernat Vanaclocha,C,6-11,220,Movistar Estudiantes,Oviedo,2020 NBA Draft Eligible,Spain
272,Sarunas Vasiliauskas,PG,6-2,154,Divina Seguros Joventut,Kaunas,"2011 NBA Draft, Undrafted",Lithuania
273,Fran Vazquez,FC,6-10,230,Iberostar Tenerife,Lugo,2005 Rnd 1 Pick 11,Spain
274,Albert Ventura,SG,6-5,180,Divina Seguros Joventut,Badalona,"2014 NBA Draft, Undrafted",Spain
275,Aleksandar Vezenkov,PF,6-9,225,FC Barcelona Lassa,Nicosia,2017 Rnd 2 Pick 27,CyprusBulgaria
276,Edgar Vicedo,SF,6-8,200,Movistar Estudiantes,Madrid,"2016 NBA Draft, Undrafted",Spain
277,Sergi Vidal,GF,6-7,200,Divina Seguros Joventut,Badalona,"2003 NBA Draft, Undrafted",Spain
278,Guillem Vives,PG,6-3,172,Valencia Basket,Barcelona,"2015 NBA Draft, Undrafted",Spain
279,Johannes Voigtmann,C,6-11,228,KIROLBET Baskonia Vitoria-Gasteiz,Eisenach,"2014 NBA Draft, Undrafted",Germany
280,Vasilije Vucetic,C,6-10,235,RETAbet Bilbao Basket,Vrbas,"2018 NBA Draft, Undrafted",Serbia
281,Adam Waczynski,GF,6-6,210,Unicaja Malaga,Torun,"2011 NBA Draft, Undrafted",Poland
282,David Walker,GF,6-6,200,MoraBanc Andorra,Stow (OH),"2016 NBA Draft, Undrafted",United States
283,David Wear,PF,6-10,225,Montakit Fuenlabrada,Huntington Beach (CA),"2014 NBA Draft, Undrafted",United States
284,Davin White,PG,6-1,185,Iberostar Tenerife,Phoenix (AZ),"2005 NBA Draft, Undrafted",United States
285,Shayne Whittington,C,6-11,245,Rio Natura Monbus Obradoiro,Paw Paw (MI),"2014 NBA Draft, Undrafted",United StatesNorth Macedonia
286,Jamar Wilson,PG,6-1,185,Movistar Estudiantes,Bronx (NY),"2007 NBA Draft, Undrafted",United StatesFinland
287,Santiago Yusta,SF,6-6,183,Rio Natura Monbus Obradoiro,Madrid,"2019 NBA Draft, Undrafted",Spain
288,Ihor Zaytsev,F,6-11,218,ICL Manresa,Dnipropetrovsk,"2011 NBA Draft, Undrafted",Ukraine
289,Luka Zoric,C,6-10,242,Real Betis Energia Plus,Zadar,"2006 NBA Draft, Undrafted",Croatia
290,Daniel de la Rua,PG,6-0,185,RETAbet Bilbao Basket,Guadalajara,"2019 NBA Draft, Undrafted",Spain
