,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
232,Nikolay Rogozhkin,C,7-3,255,UCAM Murcia,Volgograd,"2015 NBA Draft, Undrafted",Russia
233,Sadiel Rojas,GF,6-4,190,UCAM Murcia,Arlington (TX),"2011 NBA Draft, Undrafted",United StatesDominican Republic
234,Michael Roll,G,6-5,200,KIROLBET Baskonia Vitoria-Gasteiz,Aliso Viejo (CA),"2010 NBA Draft, Undrafted",United StatesTunisia
235,Pedro Romera,C,6-11,208,Tecnyconta Zaragoza,Jaen,"2010 NBA Draft, Undrafted",Spain
236,Alex Ruoff,SF,6-6,220,RETAbet Bilbao Basket,Hamilton (OH),"2009 NBA Draft, Undrafted",United States
237,Albert Sabat,PG,6-2,150,Divina Seguros Joventut,Girona,"2007 NBA Draft, Undrafted",Spain
238,Nil Sabata,FC,6-9,205,ICL Manresa,Manresa,"2018 NBA Draft, Undrafted",Spain
239,Victor Sada,PG,6-4,205,MoraBanc Andorra,Badalona,"2006 NBA Draft, Undrafted",Spain
240,David Sainsbury,F,6-8,214,Movistar Estudiantes,Pamplona,"2016 NBA Draft, Undrafted",SpainEngland
241,Maksim Salash,PF,6-9,220,Real Betis Energia Plus,Minsk,"2018 NBA Draft, Undrafted",Belarus
242,Javi Salgado,PG,5-11,181,Movistar Estudiantes,Bilbao,"2002 NBA Draft, Undrafted",Spain
243,Sasu Salin,SG,6-3,191,Herbalife Gran Canaria,Helsinki,"2013 NBA Draft, Undrafted",Finland
244,Paco Salvador,FC,6-8,-,Real Madrid,Almeria,2021 NBA Draft Eligible,Spain
245,Samardo Samuels,FC,6-9,260,FC Barcelona Lassa,Trelawyny,"2010 NBA Draft, Undrafted",Jamaica
246,Fernando San Emeterio,GF,6-6,232,Valencia Basket,Santander,"2006 NBA Draft, Undrafted",Spain
247,Jose San Martin,SG,6-3,-,Rio Natura Monbus Obradoiro,Santiago De Compostela,2021 NBA Draft Eligible,Spain
248,Rodrigo San Miguel,PG,6-3,194,Iberostar Tenerife,Zaragoza,"2007 NBA Draft, Undrafted",Spain
249,Alfonso Sanchez,SG,6-4,198,Real Betis Energia Plus,Jaen,"2009 NBA Draft, Undrafted",Spain
250,Ricky Sanchez,F,7-0,220,ICL Manresa,Guayama (PR),2005 Rnd 2 Pick 5,Puerto RicoUnited States
251,Maksim Sandul,C,6-10,250,ICL Manresa,Vinnytsia,"2013 NBA Draft, Undrafted",Ukraine
252,Agusti Sans,PG,6-4,180,Divina Seguros Joventut,Mahon,"2017 NBA Draft, Undrafted",Spain
253,Alvaro Sanz,PG,6-1,202,Tecnyconta Zaragoza,Zaragoza,2020 NBA Draft Eligible,Spain
254,Jorge Sanz,PG,6-2,170,Montakit Fuenlabrada,Madrid,"2015 NBA Draft, Undrafted",Spain
255,Joan Sastre,SF,6-7,200,Tecnyconta Zaragoza,Inca,"2013 NBA Draft, Undrafted",Spain
256,Romain Sato,GF,6-5,205,Valencia Basket,Bimbo,2004 Rnd 2 Pick 23,Central African Republic
257,Tomas Satoransky,PG,6-7,210,FC Barcelona Lassa,Prague,2012 Rnd 2 Pick 2,Czech Republic
258,Sitapha Savane,FC,6-8,230,Herbalife Gran Canaria,Dakar,"2000 NBA Draft, Undrafted",SenegalSpain
259,Hugo Schneider,F,6-6,190,MoraBanc Andorra,Caen,2020 NBA Draft Eligible,FranceAndorra
260,Thomas Schreiner,PG,6-5,194,MoraBanc Andorra,St. Polten,"2009 NBA Draft, Undrafted",Austria
261,Ernest Scott,F,6-7,225,Montakit Fuenlabrada,Marietta (GA),"2004 NBA Draft, Undrafted",United States
262,D.J. Seeley,G,6-4,195,Herbalife Gran Canaria,Redding (CA),"2013 NBA Draft, Undrafted",United States
263,Blagota Sekulic,FC,6-8,232,Iberostar Tenerife,Podgorica,"2004 NBA Draft, Undrafted",Montenegro
264,Tornike Shengelia,PF,6-9,220,KIROLBET Baskonia Vitoria-Gasteiz,Tbilisi,2012 Rnd 2 Pick 24,Georgia
265,Giorgi Shermadini,C,7-1,250,MoraBanc Andorra,Natakhtari,"2011 NBA Draft, Undrafted",Georgia
266,John Shurna,F,6-9,215,Valencia Basket,Glen Ellyn (IL),"2012 NBA Draft, Undrafted",United States
267,Luke Sikma,PF,6-8,235,Valencia Basket,Bellevue (WA),"2011 NBA Draft, Undrafted",United States
268,Cedric Simmons,FC,6-9,235,Real Betis Energia Plus,Shallotte (NC),2006 Rnd 1 Pick 15,United StatesBulgaria
269,Chase Simon,G,6-7,216,ICL Manresa,Detroit (MI),"2012 NBA Draft, Undrafted",United States
270,Diamon Simpson,F,6-7,230,Movistar Estudiantes,Hayward (CA),"2009 NBA Draft, Undrafted",United States
271,Tautvydas Slezas,C,6-8,254,RETAbet Bilbao Basket,Kaunas,"2012 NBA Draft, Undrafted",Lithuania
272,Uros Slokar,PF,6-11,238,Real Betis Energia Plus,Ljubljana,2005 Rnd 2 Pick 28,Slovenia
273,Jamar Smith,SG,6-3,185,Unicaja Malaga,Peoria (IL),"2010 NBA Draft, Undrafted",United States
274,Rolands Smits,SF,6-10,235,Montakit Fuenlabrada,Valmiera,"2017 NBA Draft, Undrafted",Latvia
275,Josip Sobin,SF,6-8,222,Montakit Fuenlabrada,Split,"2011 NBA Draft, Undrafted",Croatia
276,Morayo Soluade,PG,6-5,196,Delteco GBC,London,"2017 NBA Draft, Undrafted",England
277,Jon Stefansson,G,6-5,200,Valencia Basket,Reykjavik,"2003 NBA Draft, Undrafted",Iceland
278,Oliver Stevic,FC,6-10,220,Montakit Fuenlabrada,Belgrade,"2006 NBA Draft, Undrafted",Serbia
279,Vladimir Stimac,C,6-11,250,Movistar Estudiantes,Belgrade,"2009 NBA Draft, Undrafted",Serbia
280,Vojdan Stojanovski,SG,6-5,194,MoraBanc Andorra,Skopje,"2009 NBA Draft, Undrafted",North Macedonia
281,Alex Suarez,PF,6-10,214,RETAbet Bilbao Basket,Mahon,"2015 NBA Draft, Undrafted",Spain
282,Carlos Suarez,SF,6-8,233,Unicaja Malaga,Madrid,"2008 NBA Draft, Undrafted",Spain
283,Emir Sulejmanovic,PF,6-9,220,FC Barcelona Lassa,Zepa,"2017 NBA Draft, Undrafted",Bosnia and Herzegovina
284,Goran Suton,C,6-8,245,Divina Seguros Joventut,Sarajevo,2009 Rnd 2 Pick 20,Bosnia and HerzegovinaUnited States
285,Jordan Swing,F,6-6,200,Tecnyconta Zaragoza,Vestavia Hills (AL),"2014 NBA Draft, Undrafted",United States
286,Jonathan Tabu,PG,6-0,194,Montakit Fuenlabrada,Kinshasa,"2007 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium
287,Jeffery Taylor,SF,6-7,225,Real Madrid,Norrkoping,2012 Rnd 2 Pick 1,Sweden
288,Brandon Thomas,SF,6-6,207,Movistar Estudiantes,San Antonio (TX),"2007 NBA Draft, Undrafted",United States
289,Dontay Thomas,G,6-2,175,ICL Manresa,Frederick (MD),"2006 NBA Draft, Undrafted",United StatesHungary
290,Will Thomas,PF,6-7,230,Unicaja Malaga,Baltimore (MD),"2008 NBA Draft, Undrafted",United States
291,Trey Thompkins,PF,6-10,245,Real Madrid,Lithonia (GA),2011 Rnd 2 Pick 7,United States
292,Kim Tillie,PF,6-11,230,KIROLBET Baskonia Vitoria-Gasteiz,Cagnes-sur-Mer,"2010 NBA Draft, Undrafted",France
293,Dejan Todorovic,SG,6-6,196,RETAbet Bilbao Basket,Mrkonjic Grad,"2016 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia
294,Marko Todorovic,C,6-10,240,RETAbet Bilbao Basket,Podgorica,2013 Rnd 2 Pick 15,Montenegro
295,Pere Tomas,SF,6-6,198,Tecnyconta Zaragoza,Llucmajor,"2011 NBA Draft, Undrafted",Spain
296,Ante Tomic,C,7-1,225,FC Barcelona Lassa,Dubrovnik,2008 Rnd 2 Pick 14,Croatia
297,Jordi Trias,PF,6-10,209,Valencia Basket,Girona,"2002 NBA Draft, Undrafted",Spain
298,Juan Jose Triguero,C,7-0,249,Rio Natura Monbus Obradoiro,Gandia,"2005 NBA Draft, Undrafted",Spain
299,Ricardo Uriz,PG,6-2,176,Montakit Fuenlabrada,Pamplona,"2002 NBA Draft, Undrafted",Spain
300,Alex Urtasun,G,6-4,187,Montakit Fuenlabrada,Pamplona,"2006 NBA Draft, Undrafted",Spain
301,Txemi Urtasun,SG,6-4,185,Delteco GBC,Pamplona,"2006 NBA Draft, Undrafted",Spain
302,Rares Uta,C,6-11,202,Unicaja Malaga,Targu Mures,"2019 NBA Draft, Undrafted",Romania
303,Sam Van Rossom,PG,6-2,180,Valencia Basket,Ghent,"2008 NBA Draft, Undrafted",Belgium
304,Kostas Vasiliadis,F,6-7,225,Rio Natura Monbus Obradoiro,Thessaloniki,"2006 NBA Draft, Undrafted",Greece
305,Fran Vazquez,FC,6-10,230,Unicaja Malaga,Lugo,2005 Rnd 1 Pick 11,Spain
306,Albert Ventura,SG,6-5,180,Divina Seguros Joventut,Badalona,"2014 NBA Draft, Undrafted",Spain
307,Aleksandar Vezenkov,PF,6-9,225,FC Barcelona Lassa,Nicosia,2017 Rnd 2 Pick 27,CyprusBulgaria
308,Edgar Vicedo,SF,6-8,200,Movistar Estudiantes,Madrid,"2016 NBA Draft, Undrafted",Spain
309,Sergi Vidal,GF,6-7,200,Divina Seguros Joventut,Badalona,"2003 NBA Draft, Undrafted",Spain
310,Guillem Vives,PG,6-3,172,Valencia Basket,Barcelona,"2015 NBA Draft, Undrafted",Spain
311,Zoran Vrkic,SG,6-4,193,Delteco GBC,Rijeka,"2009 NBA Draft, Undrafted",Croatia
312,Adam Waczynski,GF,6-6,210,Rio Natura Monbus Obradoiro,Torun,"2011 NBA Draft, Undrafted",Poland
313,David Wear,PF,6-10,225,Montakit Fuenlabrada,Huntington Beach (CA),"2014 NBA Draft, Undrafted",United States
314,Travis Wear,PF,6-9,219,Delteco GBC,Long Beach (CA),"2014 NBA Draft, Undrafted",United States
315,Davin White,PG,6-1,185,Iberostar Tenerife,Phoenix (AZ),"2005 NBA Draft, Undrafted",United States
316,Scott Wood,SF,6-6,175,UCAM Murcia,Marion (IN),"2013 NBA Draft, Undrafted",United States
317,Santiago Yusta,SF,6-6,183,Rio Natura Monbus Obradoiro,Madrid,"2019 NBA Draft, Undrafted",Spain
318,Lazar Zivanovic,G,6-6,190,Real Madrid,Sabac,2023 NBA Draft Eligible,Serbia
319,Daniel de la Rua,PG,6-0,185,Real Madrid,Guadalajara,"2019 NBA Draft, Undrafted",Spain
